Symbol,Name,Sector,Instrument,Status,Email,Website
GVL,Green Ventures Limited,Hydro Power,Equity,Active,frontdesk@trivenihydro.com,www.greenventuresnepal.com
GWFD83,12 % Goodwill Finance Limited Debenture 2083,Finance,Non-Convertible Debentures,Active,info@goodwill.net.np,https://goodwillfinance.com.np/
H8020,Himalayan 80-20,Commercial Banks,Mutual Funds,Active,legal@himalayanbank.com,https://www.himalayanbank.com
HAMA,Hama Merchant & Finance Ltd.,Finance,Equity,Delisted,info@hamafinance.com.np,
HAMAPO,Hama Merchant & Finance Ltd.,Finance,Promoter Share,Inactive,info@hamafinance.com.np,
HAMRO,Hamro Bikas Bank Ltd.,Development Banks,Equity,Delisted,paras.kandel@hamrobank.com,http://www.hamrobank.com
HAMROP,Hamro Bikas Bank Ltd.,Development Banks,Promoter Share,Inactive,paras.kandel@hamrobank.com,http://www.hamrobank.com
HATH,Hathway Finance Company Limited,Finance,Equity,Delisted,bikram.malla@hathwayfinance.com,
HATHPO,Hathway Finance Company Limited,Finance,Promoter Share,Inactive,bikram.malla@hathwayfinance.com,
HATHY,Hathway Investment Nepal Limited,Investment,Equity,Active,nepal.hathway@gmail.com,https://www.hathwaynepal.com.np/
HBL,Himalayan Bank Limited,Commercial Banks,Equity,Active,legal@himalayanbank.com,https://www.himalayanbank.com
HBLD83,10% Himalayan Bank Debenture 2083,Commercial Banks,Non-Convertible Debentures,Delisted,legal@himalayanbank.com,https://www.himalayanbank.com
HBLD86,"Himalayan Bank Limited Bond, 2086",Commercial Banks,Non-Convertible Debentures,Active,legal@himalayanbank.com,https://www.himalayanbank.com
HBLPO,Himalayan Bank Limited,Commercial Banks,Promoter Share,Active,legal@himalayanbank.com,https://www.himalayanbank.com
HBT,Harisiddhi Brick And Tiles Limited,Manufacturing And Processing,Equity,Suspended,hbt@hbt.com,
HDHPC,Himal Dolakha Hydropower Company Limited,Hydro Power,Equity,Active,hydrohimaldolakha@gmail.com,www.himaldolakhahydro.com
HDL,Himalayan Distillery Limited,Manufacturing And Processing,Equity,Active,info@himalayandistillery.com,https://himalayandistillery.com/
HEI,Himalayan Everest Insurance Limited,Non Life Insurance,Equity,Active,subindra.shrestha@hei.com.np,
HEIP,Himalayan Everest Insurance Limited,Non Life Insurance,Promoter Share,Active,subindra.shrestha@hei.com.np,
HFIN,Hotel Forest Inn Limited,Hotels And Tourism,Equity,Active,legal.hfin@gmail.com,https://hotelforestinn.com.np/
HFL,Himalayan Finance Limited (Bittiya Sanstha),Finance,Equity,Suspended,info@hfl.com.np,
HHL,Himalayan Hydropower Limited,Hydro Power,Equity,Active,himalayanhydro2021@gmail.com,www.hhpl.com.np
HIDCL,Hydorelectricity Investment and Development Company Ltd,Investment,Equity,Active,info@hidcl.org.np,www.hidcl.org.np
HIDCLP,Hydorelectricity Investment and Development Company Ltd,Investment,Promoter Share,Active,info@hidcl.org.np,www.hidcl.org.np
HIMSTAR,Him Star Urja Company Limited,Hydro Power,Equity,Active,urjahimstar@gmail.com,www.urjahimsta.com.np
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Active,info@himalayanlaghubitta.com,www.himalayanlaghubitta.com
HLBSLP,Himalayan Laghubitta Bittiya Sanstha Limited,Microfinance,Promoter Share,Active,info@himalayanlaghubitta.com,www.himalayanlaghubitta.com
HLI,Himalayan Life Insurance Limited,Life Insurance,Equity,Active,ishwar@himalayanlife.com.np,
HLICF,HLI Large Cap Fund,Life Insurance,Mutual Funds,Active,ishwar@himalayanlife.com.np,
HLIPO,Himalayan Life Insurance Limited,Life Insurance,Promoter Share,Active,ishwar@himalayanlife.com.np,
HPPL,Himalayan Power Partner Ltd.,Hydro Power,Equity,Active,hpphydro.binaya@gmail.com,http://www.hpp.com.np
HRL,Himalayan Reinsurance Limited,Others,Equity,Active,contactus@himalayanre.com,www.himalayanre.com
HRLP,Himalayan Reinsurance Limited,Others,Promoter Share,Active,contactus@himalayanre.com,www.himalayanre.com
HTL,Himgiri Textile Industries Limited,Manufacturing And Processing,Equity,Delisted,htu@htu.com,
HURJA,Himalaya Urja Bikas Company Limited,Hydro Power,Equity,Active,himalayaurja@gmail.com,www.himalurja.com
ICFC,ICFC Finance Limited,Finance,Equity,Active,nepsereport@icfcbank.com,www.icfc.com.np
ICFCD83,12% ICFC Finance Limited Debenture 2083,Finance,Non-Convertible Debentures,Active,nepsereport@icfcbank.com,www.icfc.com.np
ICFCD88,9% ICFC Finance Limited Debenture 2088,Finance,Non-Convertible Debentures,Active,nepsereport@icfcbank.com,www.icfc.com.np
ICFCD89,8% ICFC Finance Limited Debenture 2089,Finance,Non-Convertible Debentures,Active,nepsereport@icfcbank.com,www.icfc.com.np
ICFCPO,ICFC Finance Limited,Finance,Promoter Share,Active,nepsereport@icfcbank.com,www.icfc.com.np
IDBL,Infrastructure Development Bank Ltd.,Development Banks,Equity,Delisted,info@idbank.com.np,
IDBLPO,Infrastructure Development Bank Ltd.,Development Banks,Promoter Share,Inactive,info@idbank.com.np,
IFIL,Imperial Financial Inst. Ltd.,Finance,Equity,Delisted,imperial@imperial.com,
IFILPO,Imperial Financial Inst. Ltd.,Finance,Promoter Share,Inactive,imperial@imperial.com,
IGI,IGI Prudential insurance Limited,Non Life Insurance,Equity,Active,compliance@iginepal.com,http://www.igiprudential.com
IGIPO,IGI Prudential Insurance Limited,Non Life Insurance,Promoter Share,Active,compliance@iginepal.com,http://www.igiprudential.com
IHL,Ingwa Hydropower Limited,Hydro Power,Equity,Active,hydropoweringwa@gmail.com,www.ingwahydropowerltd.com.np
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Active,ilbslfinance@gmail.com,www.infinitymbsl.com
ILBSP,Infinity Laghubitta Bittiya Sastha Ltd,Microfinance,Promoter Share,Active,ilbslfinance@gmail.com,www.infinitymbsl.com
ILFC,International Leasing & Finance Co. Ltd.,Finance,Equity,Delisted,info@ilfco.com.np,http://www.ilfco.com.np
ILFCPO,International Leasing & Finance Co. Ltd.,Finance,Promoter Share,Inactive,info@ilfco.com.np,http://www.ilfco.com.np
ILI,IME Life Insurance Company Limited,Life Insurance,Equity,Active,info@imelifeinsurance.com,www.imelifeinsurance.com
ILIP,I.M.E. Life Insurance company Limited,Life Insurance,Promoter Share,Active,info@imelifeinsurance.com,www.imelifeinsurance.com
IMEFI,IME Financial Institution,Finance,Equity,Delisted,avu@avu.com,
IMEFIP,IME Financial Institution,Finance,Promoter Share,Inactive,avu@avu.com,
INDB,Innovative Development Bank Ltd.,Development Banks,Equity,Delisted,info@indb.com,
INDBL,International Development Bank Ltd,Development Banks,Equity,Delisted,info@internationalbank.com.np,
INDBLP,International Development Bank Ltd,Development Banks,Promoter Share,Inactive,info@internationalbank.com.np,
INDBPO,Innovative Development Bank Ltd.,Development Banks,Promoter Share,Inactive,info@indb.com,
JALPA,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Delisted,info@jalpamf.com.np,www.jalpamf.com.np
JALPAP,Jalpa Samudayik Laghubitta Sanstha Limited,Microfinance,Promoter Share,Inactive,info@jalpamf.com.np,www.jalpamf.com.np
JBBD87,Jyoti Bikash Bank Bond 2087,Development Banks,Non-Convertible Debentures,Active,krishna.oasti@jbbl.com.np,
JBBL,Jyoti Bikas Bank Limited,Development Banks,Equity,Active,krishna.oasti@jbbl.com.np,
JBBLPO,Jyoti Bikas Bank Limited,Development Banks,Promoter Share,Active,krishna.oasti@jbbl.com.np,
JBLB,Jeevan Bikas Laghubitta Bittya Sanstha Ltd,Microfinance,Equity,Active,info@jeevanbikasmf.com,www.jeevanbikasmf.com
JBLBP,Jeevan Bikas Laghubitta Bittiya Sanstha Ltd,Microfinance,Promoter Share,Active,info@jeevanbikasmf.com,www.jeevanbikasmf.com
JBNL,Janata Bank Nepal Ltd.,Commercial Banks,Equity,Delisted,bishwa.subedi@janatabank.com.np,http://www.janatabank.com.np
JBNLPO,Janata Bank Nepal Ltd.,Commercial Banks,Promoter Share,Inactive,bishwa.subedi@janatabank.com.np,http://www.janatabank.com.np
JEFL,Jebils Finance Ltd.,Finance,Equity,Delisted,jln@jebils.com,http://www.jebil.com
JEFLPO,Jebils Finance Ltd.,Finance,Promoter Share,Inactive,jln@jebils.com,http://www.jebil.com
JFL,Janaki Finance Company Limited,Finance,Equity,Active,info@jfcjanakpur.com,
JFLPO,Janaki Finance Company Limited,Finance,Promoter Share,Active,info@jfcjanakpur.com,
JHAPA,Jhapa Energy Limited,Others,Equity,Active,solarpower@jhapaenergy.com.np,https://jhapaenergy.com.np/
JHBL,Jhimruk Bikas Bank Ltd.,Development Banks,Equity,Delisted,info@jhimruk.com,
JHBLPO,Jhimruk Bikas Bank Ltd.,Development Banks,Promoter Share,Inactive,info@jhimruk.com,
JLI,Jyoti Life Insurance Company Limited,Life Insurance,Equity,Delisted,info@jyotilife.com,www.jyotilife.com
JLIP,Jyoti Life Insurance Company Limited,Life Insurance,Promoter Share,Inactive,info@jyotilife.com,www.jyotilife.com
JOSHI,Joshi Hydropower Development Company Ltd,Hydro Power,Equity,Active,joshihydropowerdev@gmail.com,https://jhdc.com.np/
JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,Microfinance,Equity,Active,info@jucbank.com.np,
JSLBBP,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,Microfinance,Promoter Share,Active,info@jucbank.com.np,
JSM,Jyoti Sinning Mills Limited,Manufacturing And Processing,Equity,Suspended,jsm@jsm.com,
KADBL,Kanchan Development Bank Limited,Development Banks,Equity,Delisted,biruram@kanchanbank.com.np,
KADBLP,Kanchan Development Bank Limited,Development Banks,Promoter Share,Inactive,biruram@kanchanbank.com.np,
KAFIL,Kaski Finance Limited,Finance,Equity,Delisted,kafil@wlink.com.np,http://www.kaskifinance.com.np
KAFILP,Kaski Finance Limited,Finance,Promoter Share,Inactive,kafil@wlink.com.np,http://www.kaskifinance.com.np
KAHL,Kalanga Hydro Limited,Hydro Power,Equity,Active,hydrokalanga@gmail.com,www.kalangahydro.com.np
KBBL,Kailash Bikas Bank Ltd.,Development Banks,Equity,Delisted,subashghimire@kailashbank.com,http://www.kailashbank.com
KBBLPO,Kailash Bikas Bank Ltd.,Development Banks,Promoter Share,Inactive,subashghimire@kailashbank.com,http://www.kailashbank.com
KBL,Kumari Bank Limited,Commercial Banks,Equity,Active,info@kumaribank.com,http://www.kumaribank.com
KBLD86,10.25% KBL Debenture 2086,Commercial Banks,Non-Convertible Debentures,Active,info@kumaribank.com,http://www.kumaribank.com
KBLD89,11% KBL Debenture 2089,Commercial Banks,Non-Convertible Debentures,Active,info@kumaribank.com,http://www.kumaribank.com
KBLD90,10% KBL Debenture 2090,Commercial Banks,Non-Convertible Debentures,Active,info@kumaribank.com,http://www.kumaribank.com
KBLPO,Kumari Bank Limited,Commercial Banks,Promoter Share,Active,info@kumaribank.com,http://www.kumaribank.com
KBSH,Kutheli Bukhari Small Hydropower Limited,Hydro Power,Equity,Active,kuthelihydro@gmail.com,kuthelihydropower.com.np
KCDBL,Kalinchowk Development Bank Ltd.,Development Banks,Equity,Delisted,info@kdevbank.com,
KCDBLP,Kalinchowk Development Bank Ltd.,Development Banks,Promoter Share,Inactive,info@kdevbank.com,
KDBL,Kasthamandap Development Bank Limited,Development Banks,Equity,Delisted,kdbl@kdbl.com.np,http://www.kdbl.com.np
KDBLPO,Kasthamandap Development Bank Limited,Development Banks,Promoter Share,Inactive,kdbl@kdbl.com.np,http://www.kdbl.com.np
KDBY,Kumari Dhanabriddhi Yojana,Commercial Banks,Mutual Funds,Active,info@kumaribank.com,http://www.kumaribank.com
KDL,Kalinchowk Darshan Limited,Hotels And Tourism,Equity,Active,darshankalinchowk@gmail.com,www.kalinchowkdarshan.com.np
KDLP,KALINCHOWK DARSHAN LIMITED,Hotels And Tourism,Promoter Share,Inactive,darshankalinchowk@gmail.com,www.kalinchowkdarshan.com.np
KEBL,Kabeli Bikas Bank Limited,Development Banks,Equity,Delisted,kumar.khadka@kabelibank.com,
KEBLPO,Kabeli Bikas Bank Limited,Development Banks,Promoter Share,Inactive,kumar.khadka@kabelibank.com,
KEF,Kumari Equity Fund,Commercial Banks,Mutual Funds,Active,info@kumaribank.com,http://www.kumaribank.com
KHDBL,Khandbari Development Bank Ltd,Development Banks,Equity,Delisted,info@khdbl.com,
KHPL,Kalinchock Hydropower Limited,Hydro Power,Equity,Active,kalinchwokhydro@gmail.com,http://khpl.com.np
KISTPO,Prabhu Bank Limited,Commercial Banks,Promoter Share,Inactive,amit.bhandari@prabhubank.com,
KKBL,Kakre Bihar Bikash Bank Ltd,Development Banks,Equity,Delisted,info@kbbl.com,
KKBLPO,Kakre Bihar Bikash Bank Ltd,Development Banks,Promoter Share,Inactive,info@kbbl.com,
KKHC,Khanikhola Hydropower Co. Ltd.,Hydro Power,Equity,Active,khanikhola.hpc@gmail.com,www.kkhcl.com.np
KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Delisted,info@khaptadmfi.com.np,www.khaptadmfi.com.np
KLBSP,Khaptad Laghubitta Bittiya Sanstha Ltd,Microfinance,Promoter Share,Inactive,info@khaptadmfi.com.np,www.khaptadmfi.com.np
KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,Microfinance,Equity,Active,info@kalikabank.com.np,www.kalikabank.com.np
KMCDBP,Kalika Laghubitta Bittiya Sanstha Ltd,Microfinance,Promoter Share,Active,info@kalikabank.com.np,www.kalikabank.com.np
KNBL,Kankai Bikas Bank Ltd.,Development Banks,Equity,Delisted,kbbl@kankaibank.com.np,
KNBLPO,Kankai Bikas Bank Ltd.,Development Banks,Promoter Share,Inactive,kbbl@kankaibank.com.np,
KPCL,Kalika power Company Ltd,Hydro Power,Equity,Active,daraudikalikahydro@gmail.com,www.kalikapower.com.np
KRBL,Karnali Development Bank Limited,Development Banks,Equity,Suspended,info@kdblnepal.com,www.kdblnepal.com
KRBLPO,Karnali Development Bank Limited,Development Banks,Promoter Share,Inactive,info@kdblnepal.com,www.kdblnepal.com
KSBBL,Kamana Sewa Bikas Bank Limited,Development Banks,Equity,Active,pranay.tuladhar@kamanasewabank.com,https://www.kamanasewabank.com/
KSBBLD87,9% Kamana Sewa Bikas Bank Limited Debenture 2087,Development Banks,Non-Convertible Debentures,Active,pranay.tuladhar@kamanasewabank.com,https://www.kamanasewabank.com/
KSBBLP,Kamana Sewa Bikas Bank Limited,Development Banks,Promoter Share,Active,pranay.tuladhar@kamanasewabank.com,https://www.kamanasewabank.com/
KSBBLPNP,KSBBL 9% Perpetual Non Cumulative Preference Share,Development Banks,Preference Shares,Active,pranay.tuladhar@kamanasewabank.com,https://www.kamanasewabank.com/
KSY,Kumari Sabal Yojana,Commercial Banks,Mutual Funds,Active,info@kumaribank.com,http://www.kumaribank.com
LBBL,Lumbini Bikas Bank Ltd.,Development Banks,Equity,Active,info@lumbinibikasbank.com,www.lumbinibikasbank.com
LBBLD89,11% L.B.B.L. Debenture 2089,Development Banks,Non-Convertible Debentures,Active,info@lumbinibikasbank.com,www.lumbinibikasbank.com
LBBLPO,Lumbini Bikas Bank Ltd.,Development Banks,Promoter Share,Active,info@lumbinibikasbank.com,www.lumbinibikasbank.com
LBFIL,Lord Buddha Finance Limited,Finance,Equity,Delisted,info@loardbuddhafinance.com.np,
LBLD86,10% Laxmi Bank Debenture 2086,Commercial Banks,Non-Convertible Debentures,Active,piyush.aryal@laxmisunrise.com,www.laxmisunrise.com
LBLD88,8.5% Laxmi Bank Debenture 2088,Commercial Banks,Non-Convertible Debentures,Active,piyush.aryal@laxmisunrise.com,www.laxmisunrise.com
LEC,Liberty Energy Company Limited,Hydro Power,Equity,Active,liberty@libertyenergy.com.np,www.libertyenergy.com.np
LEMF,Laxmi Equity Fund,Commercial Banks,Mutual Funds,Delisted,piyush.aryal@laxmisunrise.com,www.laxmisunrise.com
LFC,Lalitpur Finance Ltd.,Finance,Equity,Delisted,lfc@lfc.com,
LFCPO,Lalitpur Finance Ltd.,Finance,Promoter Share,Inactive,lfc@lfc.com,
LFLC,Lumbini Finance Ltd.,Finance,Equity,Delisted,lufil@mos.com.np,http://www.lumbinifinance.com.np
LFLCPO,Lumbini Finance Ltd.,Finance,Promoter Share,Inactive,lufil@mos.com.np,http://www.lumbinifinance.com.np
LGIL,Lumbini General Insurance Co. Ltd.,Non Life Insurance,Equity,Delisted,devendra@lgic.com.np,
LGILPO,Lumbini General Insurance Co. Ltd.,Non Life Insurance,Promoter Share,Inactive,devendra@lgic.com.np,
LICN,Life Insurance Corporation (Nepal) Limited,Life Insurance,Equity,Active,cs@licnepal.com.np,http://www.licnepal.com.np
LICNPO,Life Insurance Corporation (Nepal) Limited,Life Insurance,Promoter Share,Active,cs@licnepal.com.np,http://www.licnepal.com.np
LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance,Equity,Active,company.secretary@laxmilaghu.com.np,https://laxmilaghu.com.np/
LLBSPO,Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance,Promoter Share,Active,company.secretary@laxmilaghu.com.np,https://laxmilaghu.com.np/
LSH12,LS Horizon 12,Commercial Banks,Mutual Funds,Active,piyush.aryal@laxmisunrise.com,www.laxmisunrise.com
LSL,Laxmi Sunrise Bank Limited,Commercial Banks,Equity,Active,piyush.aryal@laxmisunrise.com,www.laxmisunrise.com
LSLPO,Laxmi Sunrise Bank Limited,Commercial Banks,Promoter Share,Active,piyush.aryal@laxmisunrise.com,www.laxmisunrise.com
LUBL,Lumbini Bank Limited,Commercial Banks,Equity,Delisted,info@lumbinibank.com.np,
LUBLPO,Lumbini Bank Limited,Commercial Banks,Promoter Share,Inactive,info@lumbinibank.com.np,
LUK,Laxmi Unnati Kosh,Mutual Fund,Mutual Funds,Active,info@laxmicapital.com.np,www.laxmicapital.com.np
LVF1,Laxmi Value Fund-1,Commercial Banks,Mutual Funds,Delisted,piyush.aryal@laxmisunrise.com,www.laxmisunrise.com
LVF2,Laxmi Value Fund 2,Commercial Banks,Mutual Funds,Active,piyush.aryal@laxmisunrise.com,www.laxmisunrise.com
MABEL,Mabilung Energy Limited,Hydro Power,Equity,Active,mabilung@gmail.com,www.mabilung.com
MAKAR,Makar Jitumaya Suri Hydropower Limited,Hydro Power,Equity,Active,mjs.hydropower2065@gmail.com,www.mjshydropower.com.np
MANDU,Mandu Hydropower Limited,Hydro Power,Equity,Active,info@manduhydropower.com,www.manduhydropower.com
MATRI,Matribhumi Lagubitta Bittiya Sanstha Limited,Microfinance,Equity,Active,bakhat2034@gmail.com,https://matribhumimf.com.np/
MATRIP,Matribhumi Lagubitta Bittiya Sanstha Limited,Microfinance,Promoter Share,Active,bakhat2034@gmail.com,https://matribhumimf.com.np/
MBBL,Mahakali Bikas Bank Limited,Development Banks,Equity,Delisted,info@mahakali.com.np,
MBBLPO,Mahakali Bikas Bank Limited,Development Banks,Promoter Share,Inactive,info@mahakali.com.np,
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,Hydro Power,Equity,Active,admin@mbjcl.com.np,www.mbjcl.com.np
MBL,Machhapuchhre Bank Limited,Commercial Banks,Equity,Active,machbank@mbl.com.np,http://www.machbank.com
MBLD2085,10.25% Machhapuchhre Bank Debenture 2085,Commercial Banks,Non-Convertible Debentures,Active,machbank@mbl.com.np,http://www.machbank.com
MBLD87,8.5% Machhapuchchhre Debenture 2087,Commercial Banks,Non-Convertible Debentures,Active,machbank@mbl.com.np,http://www.machbank.com
MBLEF,MBL Equity Fund,Commercial Banks,Mutual Funds,Active,machbank@mbl.com.np,http://www.machbank.com
MBLPNP,8.25% Machhapuchchhre Perpetual Non Cumulative Preference Share,Commercial Banks,Preference Shares,Active,machbank@mbl.com.np,http://www.machbank.com
MBLPO,Machhapuchhre Bank Limited,Commercial Banks,Promoter Share,Active,machbank@mbl.com.np,http://www.machbank.com
MCHL,Menchhiyam Hydropower Limited,Hydro Power,Equity,Active,menchhiyam@gmail.com,www.menchhiyamhydropower.com
MDB,Miteri Development Bank Limited,Development Banks,Equity,Active,info@miteribank.com.np,http://www.miteribank.com.np
MDBLPO,Mahalaxmi Bikas Bank Ltd.,Development Banks,Promoter Share,Active,listing@mahalaxmi.com.np,http://www.mahalaxmibank.com
MDBPO,Miteri Development Bank Limited,Development Banks,Promoter Share,Active,info@miteribank.com.np,http://www.miteribank.com.np
MEGA,Mega Bank Nepal Ltd.,Commercial Banks,Equity,Delisted,nepse@megabank.com.np,
MEGAPO,Mega Bank Nepal Ltd.,Commercial Banks,Promoter Share,Inactive,nepse@megabank.com.np,
MEHL,Manakamana Engineering Hydropower Limited,Hydro Power,Equity,Active,hydromanakamana@gmail.com,www.hydromanakamana.com.np
MEL,Modi Energy Limited,Hydro Power,Equity,Active,info@modihydro.com,www.modihydro.com
MEN,Mountain Energy Nepal Limited,Hydro Power,Equity,Active,rajendra.sharma@mountainenergy.com.np,www.mountainenergy.com.np
MEPDL,Mount Everest Power Development Limited,Hydro Power,Equity,Active,mounteverestpower@gmail.com,www.mounteveresthydro.com
MERO,Mero Microfinance Bittiya Sanstha Ltd.,Microfinance,Equity,Active,meromicrofinance@gmail.com,www.meromicrofinance.com
MEROPO,Meromicrofinance Laghubitta Bittiya Sanstha Ltd.,Microfinance,Promoter Share,Active,meromicrofinance@gmail.com,www.meromicrofinance.com
METRO,Metro Development Bank Limited,Development Banks,Equity,Delisted,info@metrodevbank.com.np,
MFIL,Manjushree Finance Ltd.,Finance,Equity,Active,info@manjushreefinance.com.np,manjushreefinance.com.np
MFILPO,Manjushree Finance Ltd.,Finance,Promoter Share,Active,info@manjushreefinance.com.np,manjushreefinance.com.np
MFL,Maha Laxmi Finance Ltd.,Finance,Equity,Delisted,info@mahalaxmi.com.np,
MFLD85,9.5% Manjushree Finance Limited Debenture 2085,Finance,Non-Convertible Debentures,Active,info@manjushreefinance.com.np,manjushreefinance.com.np
MFLPO,Maha Laxmi Finance Ltd.,Finance,Promoter Share,Inactive,info@mahalaxmi.com.np,
MGBL,Madhyamanchal Gramin Development Bank Ltd.,Development Banks,Equity,Delisted,info@mgbl.com.np,
MHCL,Molung Hydropower Company Limited,Hydro Power,Equity,Active,molung.office@gmail.com,www.molunghydropwer.com.np
MHL,Mandakini Hydropower Limited,Hydro Power,Equity,Active,mandakini.hydropower@gmail.com,www.mandakinihydro.com.np
MHNL,Mountain Hydro Nepal Limited,Hydro Power,Equity,Active,mountainhydronepal@gmail.com,www.mountainhydronepal.com.np
MIDBL,Mission Development Bank Ltd.,Development Banks,Equity,Delisted,bishnuzi@missionbanknepal.com.np,
MIDBLP,Mission Development Bank Ltd.,Development Banks,Promoter Share,Inactive,bishnuzi@missionbanknepal.com.np,
MKCL,Muktinath Krishi Company Limited,Others,Equity,Active,info@muktinathkrishi.com,www.muktinathkrishi.com
MKHC,Maya Khola Hydropower Company Limited,Hydro Power,Equity,Active,dpshresths@gmail.com,www.mkhpcl.com.np
MKHL,Mai Khola Hydropower Limited,Hydro Power,Equity,Active,maikholahydro@gmail.com,https://maikholahydropower.com.np
MKJC,Mailung Khola Jal Vidhyut Company Limited,Hydro Power,Equity,Active,mailung.mkjc@gmail.com,www.mailunhkhola.com.np
MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Delisted,manakamanalbs@gmail.com,www.manakamanalbs.com
MKLBP,Manakamana Smart Laghubitta Bittiya Sanstha Limited,Microfinance,Promoter Share,Inactive,manakamanalbs@gmail.com,www.manakamanalbs.com
MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,Microfinance,Equity,Active,mlboperationdepart@gmail.com,http://www.mldbank.com.np
MLBBLP,Mithila LaghuBitta Bittiya Sanstha Limited,Microfinance,Promoter Share,Active,mlboperationdepart@gmail.com,http://www.mldbank.com.np
MLBL,Mahalaxmi Bikas Bank Ltd.,Development Banks,Equity,Active,listing@mahalaxmi.com.np,http://www.mahalaxmibank.com
MLBL1,Mahalaxmi BikasBank Limited,Development Banks,Equity,Delisted,malika@nepse.com,
MLBLD89,11% Mahalaxmi Debenture 2089,Development Banks,Non-Convertible Debentures,Active,listing@mahalaxmi.com.np,http://www.mahalaxmibank.com
MLBLPO,Mahalaxmi Bikas Bank Ltd.,Development Banks,Promoter Share,Active,listing@mahalaxmi.com.np,http://www.mahalaxmibank.com
MLBS,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Active,info@manushilbs.com.np,https://www.manushilbs.com
MLBSL,Mahila Lagubitta Bittiya Sanstha Limited,Microfinance,Equity,Active,mlbsl.nepal@gmail.com,www.mlbsl.com.np
MLBSLP,Mahila Laghubitta Bittiya Sanstha Ltd,Microfinance,Promoter Share,Active,mlbsl.nepal@gmail.com,www.mlbsl.com.np
MLBSP,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance,Promoter Share,Active,info@manushilbs.com.np,https://www.manushilbs.com
MMDBL,Mount Makalu Development Bank Ltd.,Development Banks,Equity,Delisted,info@mmdbank.com,
MMDBLP,Mount Makalu Development Bank Ltd.,Development Banks,Promoter Share,Inactive,info@mmdbank.com,
MMF1,Mega Mutual Fund -1,Commercial Banks,Mutual Funds,Active,nepse@megabank.com.np,
MMFDB,Mirmire Laghubitta Bittya Sanstha Limited,Microfinance,Equity,Delisted,info@mirmirebank.com.np,http://www.mirmirebank.com.np
MMFDBP,Mirmire Laghubitta Bittya Sanstha Limited,Microfinance,Promoter Share,Inactive,info@mirmirebank.com.np,http://www.mirmirebank.com.np
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,Hydro Power,Equity,Active,mailung@sanimahydro.com,sanimamailung.com
MNBBL,Muktinath Bikas Bank Ltd.,Development Banks,Equity,Active,info@muktinathbank.com.np,
MNBBLP,Muktinath Bikas Bank Ltd.,Development Banks,Promoter Share,Active,info@muktinathbank.com.np,
MND84/85,Muktinath Debenture 2084/85,Development Banks,Non-Convertible Debentures,Active,info@muktinathbank.com.np,
MNMF1,Muktinath Mutual Fund 1,Development Banks,Mutual Funds,Active,info@muktinathbank.com.np,
MPFL,Multipurpose Finance Company Limited,Finance,Equity,Active,mfclfin43@gmail.com,
MPFLPO,Multipurpose Finance Company Limited,Finance,Promoter Share,Active,mfclfin43@gmail.com,
MSBBL,Manaslu Bikas Bank Ltd.,Development Banks,Equity,Delisted,info@manaslu.com,
MSBBLP,Manaslu Bikas Bank Ltd.,Development Banks,Promoter Share,Inactive,info@manaslu.com,
MSHL,Mid Solu Hydropower Limited,Hydro Power,Equity,Active,midsolu.hydropower@gmail.com,https://midsoluhydropower.com.np/
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Active,saroj.singh@mslbsl.com.np,mslbsl.com.np
MSLBP,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,Promoter Share,Active,saroj.singh@mslbsl.com.np,mslbsl.com.np
MSM,Morang Sugar Mills Limited,Manufacturing And Processing,Equity,Delisted,msm@msm.com,
MSMBS,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,Microfinance,Equity,Delisted,mahilasahayatra@gmail.com,
MSMBSP,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,Microfinance,Promoter Share,Inactive,mahilasahayatra@gmail.com,
MTBL,Matribhumi Development Bank Ltd.,Development Banks,Equity,Delisted,binodrajthapa@yahoo.com,
NABB,Nepal Aawas Finance Limited,Finance,Equity,Delisted,nabb@nabb.com,
NABBC,Narayani Development Bank Limited,Development Banks,Equity,Active,info@ndbl.com.np,www.ndbl.com.np
NABBCP,Narayani Development Bank Limited,Development Banks,Promoter Share,Active,info@ndbl.com.np,www.ndbl.com.np
NABBPO,Nepal Aawas Finance Limited,Finance,Promoter Share,Inactive,nabb@nabb.com,
